dataset,n,trial,center_method,theta,kendall_tau,spearman_rho,top1_hit_rate,loglik,center_objective_value,fit_seconds
sushi,10,0,borda,0.24288596338212964,0.05866666666666667,0.06981818181818182,0.24,-14.299052893154332,53776.0,0.09184479713439941
sushi,10,0,kemeny_exact,0.24314981324587312,-0.020444444444444442,-0.0349090909090909,0.1,-14.289689496404389,53752.0,0.7464215755462646
sushi,10,1,borda,0.24014331149784435,-0.034666666666666665,-0.036363636363636355,0.22,-14.257776611083697,54026.0,0.0861506462097168
sushi,10,1,kemeny_exact,0.24034043170224764,0.05155555555555555,0.06884848484848483,0.12,-14.247502880514483,54008.0,0.03379225730895996
news,10,0,borda,0.5746016539563137,0.25511111111111107,0.33381818181818185,0.28,-11.621627948371328,24434.0,0.07979011535644531
news,10,0,kemeny_exact,0.6266035319280784,0.2933333333333333,0.359030303030303,0.52,-11.137413183390468,22470.0,0.02074122428894043
news,10,1,borda,0.6113853708910009,0.19466666666666665,0.24363636363636362,0.32,-12.022560150476247,23024.0,0.08098006248474121
news,10,1,kemeny_exact,0.6575326694838451,0.2577777777777778,0.31781818181818183,0.4,-11.730071272716433,21394.0,0.029322385787963867
