n,alpha,beta,expectation_name,exact,mcmc,current_impl,mcmc_rel_err,current_rel_err,mcmc_seconds,current_seconds
6,0.5,1.0,E_d_alpha,2.808744242767652,2.0409388460813807,2.8087442428215144,0.2733625173111878,1.9176629603701583e-11,0.04649686813354492,0.0017991065979003906
6,0.5,1.0,E_ddot_alpha,1.6037607071552402,0.8890727838345033,1.6037607071472946,0.44563251869941023,4.954382600339018e-12,0.04649686813354492,0.0017991065979003906
