dataset,n,center_method,kendall_tau_mean,kendall_tau_sd,top1_mean,top1_sd,loglik_mean,loglik_sd,center_obj_mean,n_trials
news,10,borda,0.2248888888888888,0.04274067655172018,0.30000000000000004,0.028284271247461867,-11.82209404942379,0.283501878904444,23729.0,2
news,10,kemeny_exact,0.27555555555555555,0.02514157444218834,0.46,0.08485281374238571,-11.43374222805345,0.4190725538874509,21932.0,2
sushi,10,borda,0.012,0.06599663291074435,0.22999999999999998,0.014142135623730933,-14.278414752119014,0.029186738954316088,53901.0,2
sushi,10,kemeny_exact,0.01555555555555555,0.05091168824543135,0.11,0.014142135623730944,-14.268596188459437,0.029830442171064862,53880.0,2
