dataset,n,model,n_trials,alpha_mean,alpha_sd,beta_mean,beta_sd,Kendall_tau_mean,Spearman_rho_mean,@precision_1_mean,@precision_5_mean,@precision_10_mean,Kendall_tau_sd,Spearman_rho_sd,@precision_1_sd,@precision_5_sd,@precision_10_sd
movie_lens,50,tau,50,nan,nan,nan,nan,0.00061646,0.00084620,0.02530233,0.11466047,0.21864186,0.00622520,0.00905540,0.00930976,0.00791258,0.00658421
movie_lens,50,pl,50,nan,nan,nan,nan,0.00095985,0.00140891,0.02948837,0.13990698,0.26684651,0.00632358,0.00922588,0.01236230,0.00869656,0.00818818
movie_lens,50,pl_reg,50,nan,nan,nan,nan,-0.00203421,-0.00280756,0.02911628,0.13951628,0.26347907,0.00799234,0.01154977,0.01035069,0.00867761,0.00910404
movie_lens,100,our,50,0.10000019,0.00000000,0.01351822,0.00000000,0.03469583,0.05161603,0.05043478,0.12382609,0.18826087,0.01361171,0.02023166,0.04630792,0.02196818,0.01994795
movie_lens,100,L1,50,1.00000000,0.00000000,0.04895812,0.00000000,0.03477593,0.05164323,0.06086957,0.12782609,0.19226087,0.01377967,0.02039926,0.04919004,0.02275870,0.01905697
movie_lens,100,L2,50,2.00000000,0.00000000,0.04895812,0.00000000,0.03472323,0.05162301,0.06173913,0.13217391,0.20130435,0.01380567,0.02055652,0.04355645,0.02428563,0.01968082
movie_lens,100,tau,50,nan,nan,nan,nan,0.00092543,0.00136270,0.01913043,0.06486957,0.12495652,0.01345794,0.01984185,0.02771718,0.02187505,0.01610011
movie_lens,100,pl,50,nan,nan,nan,nan,0.00336618,0.00505665,0.00782609,0.06313043,0.12043478,0.01034924,0.01539032,0.01883166,0.02370646,0.02458349
movie_lens,100,pl_reg,50,nan,nan,nan,nan,0.00096126,0.00107583,0.01130435,0.05634783,0.11756522,0.01317102,0.01957420,0.02269215,0.02007472,0.02173843
news,10,our,50,0.16771249,0.00509713,1.45195735,0.00599318,0.39083259,0.45670707,0.54806667,0.63628000,1.00000000,0.01649601,0.02082901,0.02186921,0.01045463,0.00000000
news,10,L1,50,1.00000000,0.00000000,0.34625228,0.00488581,0.35265778,0.44203556,0.38753333,0.60845333,1.00000000,0.01502164,0.02011421,0.02007552,0.00917624,0.00000000
news,10,L2,50,2.00000000,0.00000000,0.04316390,0.00084697,0.28805926,0.38054707,0.27833333,0.58797333,1.00000000,0.01360832,0.01813581,0.01822392,0.00796432,0.00000000
news,10,tau,50,nan,nan,nan,nan,0.22002074,0.28130909,0.27106667,0.64824000,1.00000000,0.01537290,0.02045637,0.01973649,0.01066147,0.00000000
news,10,pl,50,nan,nan,nan,nan,0.07305778,0.07774626,0.11060000,0.58812000,1.00000000,0.01161992,0.01565050,0.01655550,0.00841236,0.00000000
news,10,pl_reg,50,nan,nan,nan,nan,0.07587259,0.08151919,0.10926667,0.58997333,1.00000000,0.01170100,0.01536288,0.01661713,0.00962862,0.00000000
