alpha,beta,Z,E_d,E_dot_d
0.1,0.05,1.6304473832573793e+36,51.62968477563367,62.175792706398155
0.1,0.11724137931034483,5.129657887665133e+34,51.24842598149825,61.55656742044905
0.1,0.18448275862068964,1.657339896953187e+33,50.83888365646771,60.90536137180266
0.1,0.2517241379310345,5.509775689866233e+31,50.39886393873871,60.219814492055086
0.1,0.3189655172413793,1.888772036388693e+30,49.92599963671295,59.49738222178391
0.1,0.3862068965517241,6.69182296963061e+28,49.417735349521756,58.73531899552071
0.1,0.45344827586206893,2.456417415958543e+27,48.87131089823526,57.93065965405537
0.1,0.5206896551724138,9.36720635958668e+25,48.28374276328872,57.08019839448921
0.1,0.5879310344827586,3.7214844790835836e+24,47.65180315473571,56.18046474813376
0.1,0.6551724137931034,1.5451358191623923e+23,46.97199630534498,55.22769612410553
0.1,0.7224137931034482,6.726883005595211e+21,46.24053153818863,54.217806369795525
0.1,0.7896551724137931,3.0819505507200146e+20,45.453292732489096,53.14634998789968
0.1,0.8568965517241379,1.4917471392976216e+19,44.60580404526126,52.008481999026635
0.1,0.9241379310344827,7.660411633108778e+17,43.693192336036184,50.79891431565419
0.1,0.9913793103448276,4.192514020482107e+16,42.71014797048167,49.5118711940217
0.1,1.0586206896551724,2457550913573430.0,41.65088805336836,48.14104948880276
0.1,1.1258620689655172,155114463133225.44,40.50913040316573,46.67959495785943
0.1,1.193103448275862,10603050054776.691,39.278093885108945,45.120115048672545
0.1,1.2603448275862068,789859421784.5474,37.950552560594986,43.45476306932599
0.1,1.3275862068965516,64556028835.078415,36.518989105793764,41.67545002112617
0.1,1.3948275862068964,5830952261.634617,34.97591809278333,39.7742691059147
0.1,1.4620689655172414,586565918.1735247,33.3144800990226,37.744250763041286
0.1,1.5293103448275862,66253296.426207915,31.52943467732427,35.58059142450824
0.1,1.596551724137931,8473478.877030496,29.618682226040246,33.282490092330015
0.1,1.6637931034482758,1237428.906960009,27.5853812391702,30.85563596059896
0.1,1.7310344827586206,207980.87586935257,25.44054290192221,28.315157565086345
0.1,1.7982758620689654,40508.206680341464,23.205642155232905,25.688438547268444
0.1,1.8655172413793102,9188.572781759967,20.91434098758782,23.016715139178274
0.1,1.9327586206896552,2433.03065140503,18.612118458394278,20.3540947543373
0.1,2.0,751.255577250604,16.35284139580584,17.7630220030478
0.17435897435897435,0.05,1.2766377830916187e+36,56.48056291462921,69.55658695062537
0.17435897435897435,0.11724137931034483,2.90998862826578e+34,55.98152700088121,68.61829147699355
0.17435897435897435,0.18448275862068964,6.867798528331625e+32,55.445741212167825,67.63866683177949
0.17435897435897435,0.2517241379310345,1.6825315355237935e+31,54.87018093930373,66.61471529821016
0.17435897435897435,0.3189655172413793,4.290788128203967e+29,54.25156453782164,65.54319434029195
0.17435897435897435,0.3862068965517241,1.1424778255332127e+28,53.58632863163847,64.42059157033394
0.17435897435897435,0.45344827586206893,3.186489646801129e+26,52.870600040222364,63.243095714436485
0.17435897435897435,0.5206896551724138,9.342572017742792e+24,52.100163610901966,62.006562652228
0.17435897435897435,0.5879310344827586,2.8905023396842898e+23,51.27042517578672,60.706475567636566
0.17435897435897435,0.6551724137931034,9.476261806285607e+21,50.376368805515874,59.33789832906051
