Model,alpha,beta,@top_1,@top_5,@top_10,tau,hamming,ndcg@1,ndcg@2,ndcg@3,ulam_correlation,cayley_correlation,map,tvd_top5,tvd_first
our,0.287(± 0.000),0.036(± 0.000),13.658 (± 0.000),57.836 (± 0.000),76.200 (± 0.000),56.236 (± 0.000),91.519 (± 0.000),88.685 (± 0.000),88.623 (± 0.000),88.941 (± 0.000),24.709 (± 0.000),6.812 (± 0.000),61.823 (± 0.000),53.733 (± 0.000),53.000 (± 0.000)
tau,--,--,3.271 (± 0.000),15.422 (± 0.000),27.840 (± 0.000),28.331 (± 0.000),97.303 (± 0.000),70.115 (± 0.000),71.050 (± 0.000),71.203 (± 0.000),18.568 (± 0.000),4.919 (± 0.000),26.215 (± 0.000),69.267 (± 0.000),87.000 (± 0.000)
pl,--,--,7.911 (± 0.000),34.544 (± 0.000),50.164 (± 0.000),39.211 (± 0.000),94.688 (± 0.000),78.010 (± 0.000),78.356 (± 0.000),78.486 (± 0.000),19.770 (± 0.000),5.519 (± 0.000),46.197 (± 0.000),59.533 (± 0.000),70.000 (± 0.000)
pl_reg,--,--,8.449 (± 0.000),33.991 (± 0.000),51.042 (± 0.000),39.103 (± 0.000),94.655 (± 0.000),78.224 (± 0.000),78.916 (± 0.000),78.762 (± 0.000),19.757 (± 0.000),5.503 (± 0.000),47.816 (± 0.000),59.867 (± 0.000),68.000 (± 0.000)
