Model,alpha,beta,@top_1,@top_5,@top_10,tau,hamming,ndcg@1,ndcg@2,ndcg@3,ulam_correlation,cayley_correlation,map,tvd_top5,tvd_first
our,0.659(± 0.011),0.032(± 0.109),11.412 (± 0.020),54.181 (± 0.078),80.141 (± 0.069),15.016 (± 0.049),90.520 (± 0.007),67.511 (± 0.021),70.478 (± 0.022),72.053 (± 0.022),35.759 (± 0.009),18.154 (± 0.008),64.162 (± 0.027),31.727 (± 0.032),48.129 (± 0.084)
L1,1.000(± 0.000),0.037(± 0.000),11.546 (± 0.020),54.035 (± 0.077),80.296 (± 0.067),15.226 (± 0.047),90.502 (± 0.007),67.772 (± 0.020),70.696 (± 0.022),72.198 (± 0.021),35.776 (± 0.009),18.189 (± 0.007),64.417 (± 0.027),32.174 (± 0.033),47.656 (± 0.085)
L2,2.000(± 0.000),0.037(± 0.000),12.186 (± 0.021),54.440 (± 0.080),80.902 (± 0.069),16.138 (± 0.048),90.425 (± 0.008),69.524 (± 0.023),71.671 (± 0.024),72.955 (± 0.023),35.923 (± 0.009),18.314 (± 0.008),65.461 (± 0.030),34.230 (± 0.034),45.989 (± 0.085)
tau,--,--,7.316 (± 0.005),37.261 (± 0.014),70.116 (± 0.021),3.802 (± 0.009),92.835 (± 0.002),59.018 (± 0.018),60.462 (± 0.016),62.583 (± 0.008),32.761 (± 0.002),16.931 (± 0.002),54.349 (± 0.012),18.285 (± 0.044),36.301 (± 0.087)
pl,--,--,10.476 (± 0.053),47.630 (± 0.076),81.583 (± 0.048),15.179 (± 0.037),91.357 (± 0.012),65.552 (± 0.080),67.061 (± 0.054),68.660 (± 0.043),33.580 (± 0.005),18.357 (± 0.007),61.167 (± 0.055),7.288 (± 0.103),22.379 (± 0.279)
BT,--,--,8.767 (± 0.046),42.336 (± 0.096),77.020 (± 0.073),5.404 (± 0.092),92.747 (± 0.014),58.720 (± 0.078),60.562 (± 0.067),62.397 (± 0.059),32.741 (± 0.009),17.152 (± 0.015),53.980 (± 0.071),24.819 (± 0.133),37.277 (± 0.263)
pl_reg,--,--,10.586 (± 0.059),47.626 (± 0.099),81.607 (± 0.058),15.187 (± 0.045),91.316 (± 0.012),65.576 (± 0.089),67.174 (± 0.063),68.734 (± 0.048),33.593 (± 0.006),18.365 (± 0.007),61.254 (± 0.061),7.289 (± 0.093),22.035 (± 0.309)
