Model,alpha,beta,@top_1,@top_5,@top_10,tau,hamming,ndcg@1,ndcg@2,ndcg@3,ulam_correlation,cayley_correlation,map,tvd_top5,tvd_first
our,1.007(± 0.000),0.218(± 0.000),29.627 (± 0.000),93.449 (± 0.000),100.000 (± 0.000),25.444 (± 0.000),84.799 (± 0.000),79.697 (± 0.000),80.554 (± 0.000),82.274 (± 0.000),43.629 (± 0.000),25.232 (± 0.000),75.735 (± 0.000),31.800 (± 0.000),42.667 (± 0.000)
L1,1.000(± 0.000),0.223(± 0.000),29.996 (± 0.000),93.449 (± 0.000),100.000 (± 0.000),25.426 (± 0.000),84.702 (± 0.000),80.003 (± 0.000),80.675 (± 0.000),82.291 (± 0.000),43.618 (± 0.000),25.276 (± 0.000),75.757 (± 0.000),31.867 (± 0.000),42.000 (± 0.000)
L2,2.000(± 0.000),0.037(± 0.000),26.271 (± 0.000),92.109 (± 0.000),100.000 (± 0.000),24.356 (± 0.000),84.932 (± 0.000),76.937 (± 0.000),79.649 (± 0.000),81.522 (± 0.000),43.360 (± 0.000),25.382 (± 0.000),75.183 (± 0.000),31.600 (± 0.000),48.667 (± 0.000)
tau,--,--,19.867 (± 0.000),73.547 (± 0.000),100.000 (± 0.000),21.028 (± 0.000),86.596 (± 0.000),75.582 (± 0.000),77.204 (± 0.000),79.054 (± 0.000),39.081 (± 0.000),24.902 (± 0.000),76.693 (± 0.000),21.467 (± 0.000),61.333 (± 0.000)
pl,--,--,43.949 (± 0.000),99.071 (± 0.000),100.000 (± 0.000),44.975 (± 0.000),77.472 (± 0.000),97.216 (± 0.000),97.405 (± 0.000),96.836 (± 0.000),43.253 (± 0.000),33.866 (± 0.000),89.297 (± 0.000),16.333 (± 0.000),22.667 (± 0.000)
BT,--,--,22.073 (± 0.000),81.578 (± 0.000),100.000 (± 0.000),27.233 (± 0.000),86.271 (± 0.000),78.236 (± 0.000),80.490 (± 0.000),81.881 (± 0.000),37.890 (± 0.000),25.681 (± 0.000),78.913 (± 0.000),25.600 (± 0.000),57.667 (± 0.000)
pl_reg,--,--,43.389 (± 0.000),98.958 (± 0.000),100.000 (± 0.000),45.162 (± 0.000),76.844 (± 0.000),96.340 (± 0.000),98.157 (± 0.000),97.057 (± 0.000),43.414 (± 0.000),34.226 (± 0.000),89.632 (± 0.000),16.067 (± 0.000),24.333 (± 0.000)
