Model,alpha,beta,@top_1,@top_5,@top_10,tau,hamming,ndcg@1,ndcg@2,ndcg@3,ulam_correlation,cayley_correlation,map,tvd_top5,tvd_first
our,0.970(± 0.078),0.146(± 0.048),0.355 (± 0.021),36.148 (± 0.087),100.000 (± 0.000),12.005 (± 0.095),89.785 (± 0.029),70.494 (± 0.041),75.293 (± 0.039),77.400 (± 0.038),39.590 (± 0.090),22.019 (± 0.049),75.964 (± 0.060),27.145 (± 0.181),98.353 (± 0.098)
L1,1.000(± 0.000),0.130(± 0.045),0.357 (± 0.021),36.262 (± 0.094),100.000 (± 0.000),11.855 (± 0.093),89.909 (± 0.028),70.460 (± 0.039),75.141 (± 0.039),77.235 (± 0.038),39.595 (± 0.089),21.996 (± 0.047),75.846 (± 0.060),27.304 (± 0.188),98.353 (± 0.098)
L2,2.000(± 0.000),0.037(± 0.000),0.406 (± 0.024),35.534 (± 0.138),100.000 (± 0.000),12.018 (± 0.104),89.917 (± 0.028),70.574 (± 0.041),74.846 (± 0.040),77.350 (± 0.039),39.608 (± 0.092),22.064 (± 0.050),75.922 (± 0.062),27.481 (± 0.172),98.353 (± 0.098)
tau,--,--,12.119 (± 0.018),58.958 (± 0.017),100.000 (± 0.000),11.162 (± 0.055),88.839 (± 0.009),68.061 (± 0.045),70.612 (± 0.034),73.399 (± 0.034),37.843 (± 0.007),22.747 (± 0.009),71.923 (± 0.039),23.298 (± 0.086),86.180 (± 0.102)
pl,--,--,16.853 (± 0.218),83.845 (± 0.234),100.000 (± 0.000),32.500 (± 0.138),85.458 (± 0.062),79.923 (± 0.152),82.826 (± 0.123),85.552 (± 0.101),38.879 (± 0.023),27.533 (± 0.049),81.689 (± 0.098),17.465 (± 0.131),81.613 (± 0.234)
BT,--,--,21.850 (± 0.301),88.703 (± 0.403),100.000 (± 0.000),18.831 (± 0.834),86.170 (± 0.112),76.641 (± 0.408),79.255 (± 0.399),81.795 (± 0.395),38.570 (± 0.125),24.237 (± 0.239),78.643 (± 0.291),24.880 (± 0.321),76.287 (± 0.326)
pl_reg,--,--,17.425 (± 0.233),84.064 (± 0.290),100.000 (± 0.000),32.481 (± 0.136),85.367 (± 0.068),79.977 (± 0.147),82.787 (± 0.123),85.533 (± 0.105),38.906 (± 0.023),27.639 (± 0.050),81.651 (± 0.093),17.477 (± 0.132),81.027 (± 0.241)
