Model,alpha,beta,@top_1,@top_5,@top_10,tau,hamming,ndcg@1,ndcg@2,ndcg@3,ulam_correlation,cayley_correlation,map,tvd_top5,tvd_first
our,1.004(± 0.208),0.213(± 0.339),28.980 (± 0.457),93.044 (± 0.286),100.000 (± 0.000),26.075 (± 0.446),84.802 (± 0.003),79.490 (± 0.146),80.614 (± 0.042),82.468 (± 0.137),43.818 (± 0.133),25.364 (± 0.094),75.696 (± 0.028),31.267 (± 0.377),43.333 (± 0.471)
L1,1.000(± 0.000),0.216(± 0.471),29.164 (± 0.588),93.044 (± 0.286),100.000 (± 0.000),26.040 (± 0.434),84.742 (± 0.028),79.643 (± 0.254),80.667 (± 0.006),82.455 (± 0.116),43.822 (± 0.144),25.379 (± 0.073),75.683 (± 0.052),31.300 (± 0.401),43.000 (± 0.707)
L2,2.000(± 0.000),0.037(± 0.000),26.082 (± 0.134),91.814 (± 0.208),100.000 (± 0.000),25.201 (± 0.597),84.809 (± 0.086),77.404 (± 0.330),80.107 (± 0.324),81.991 (± 0.332),43.584 (± 0.158),25.553 (± 0.121),75.468 (± 0.201),30.933 (± 0.471),48.667 (± 0.000)
tau,--,--,19.620 (± 0.174),73.313 (± 0.165),100.000 (± 0.000),21.156 (± 0.090),86.661 (± 0.046),75.661 (± 0.055),77.311 (± 0.075),79.122 (± 0.049),39.173 (± 0.065),24.764 (± 0.098),76.786 (± 0.066),21.100 (± 0.259),61.500 (± 0.118)
pl,--,--,42.722 (± 1.208),99.004 (± 0.138),100.000 (± 0.000),45.805 (± 0.305),77.647 (± 0.346),96.943 (± 0.490),97.557 (± 0.481),96.989 (± 0.274),43.156 (± 0.110),34.193 (± 0.318),89.363 (± 0.307),15.233 (± 0.542),23.333 (± 0.943)
BT,--,--,20.380 (± 0.684),84.483 (± 2.025),100.000 (± 0.000),38.095 (± 7.902),85.271 (± 1.109),78.361 (± 2.708),81.542 (± 2.709),84.661 (± 2.972),38.321 (± 0.450),30.352 (± 3.509),80.424 (± 2.430),19.667 (± 4.243),60.333 (± 1.650)
pl_reg,--,--,39.896 (± 0.152),99.210 (± 0.007),100.000 (± 0.000),45.523 (± 0.269),77.937 (± 0.231),94.666 (± 0.062),96.629 (± 0.207),96.630 (± 0.119),43.012 (± 0.168),33.623 (± 0.301),88.836 (± 0.064),14.033 (± 0.354),24.667 (± 0.943)
