Model,alpha,beta,@top_1,@top_5,@top_10,tau,hamming,ndcg@1,ndcg@2,ndcg@3,ulam_correlation,cayley_correlation,map,tvd_top5,tvd_first
our,0.345(± 0.000),0.040(± 0.000),13.053 (± 0.000),58.456 (± 0.000),76.991 (± 0.000),37.912 (± 0.000),91.349 (± 0.000),79.993 (± 0.000),78.806 (± 0.000),80.293 (± 0.000),28.119 (± 0.000),9.684 (± 0.000),60.825 (± 0.000),54.267 (± 0.000),54.333 (± 0.000)
tau,--,--,3.587 (± 0.000),16.576 (± 0.000),31.116 (± 0.000),9.794 (± 0.000),97.139 (± 0.000),60.746 (± 0.000),61.275 (± 0.000),61.752 (± 0.000),21.848 (± 0.000),7.442 (± 0.000),28.396 (± 0.000),67.133 (± 0.000),81.667 (± 0.000)
pl,--,--,9.033 (± 0.000),35.073 (± 0.000),54.691 (± 0.000),18.784 (± 0.000),94.306 (± 0.000),69.751 (± 0.000),69.123 (± 0.000),69.077 (± 0.000),23.433 (± 0.000),8.350 (± 0.000),50.602 (± 0.000),57.267 (± 0.000),64.333 (± 0.000)
pl_reg,--,--,10.111 (± 0.000),36.798 (± 0.000),54.249 (± 0.000),19.148 (± 0.000),94.050 (± 0.000),71.455 (± 0.000),70.497 (± 0.000),69.950 (± 0.000),23.398 (± 0.000),8.417 (± 0.000),52.605 (± 0.000),55.667 (± 0.000),60.000 (± 0.000)
