Model,alpha,beta,@recall_1,@recall_2,@recall_5,@recall_10,@precision_1,@precision_2,@precision_5,@precision_10,@mmr,@ndcg1,@ndcg5,@ndcg10,hamming,pairwise_acc,Kendall_tau,Spearman_rho
our,0.109 (± 0.022),0.639 (± 0.030),19.907 (± 2.294),23.587 (± 1.843),50.443 (± 1.441),100.000 (± 0.000),19.907 (± 2.294),23.587 (± 1.843),50.443 (± 1.441),100.000 (± 0.000),100.000 (± 0.000),19.907 (± 2.294),85.929 (± 0.612),84.054 (± 0.507),88.948 (± 1.076),51.093 (± 0.903),1.371 (± 2.460),1.709 (± 3.382)
L1,1.000 (± 0.000),0.083 (± 0.003),14.653 (± 2.156),21.700 (± 1.500),50.141 (± 1.171),100.000 (± 0.000),14.653 (± 2.156),21.700 (± 1.500),50.141 (± 1.171),100.000 (± 0.000),100.000 (± 0.000),14.653 (± 2.156),85.665 (± 0.580),83.805 (± 0.431),89.925 (± 0.946),50.887 (± 0.844),0.395 (± 2.249),0.517 (± 3.062)
L2,2.000 (± 0.000),0.010 (± 0.001),13.720 (± 2.018),22.093 (± 1.525),49.773 (± 1.192),100.000 (± 0.000),13.720 (± 2.018),22.093 (± 1.525),49.773 (± 1.192),100.000 (± 0.000),100.000 (± 0.000),13.720 (± 2.018),85.574 (± 0.564),83.609 (± 0.386),89.745 (± 0.902),50.662 (± 0.730),0.649 (± 2.166),0.825 (± 2.987)
tau,--,--,10.627 (± 2.168),20.967 (± 1.408),51.005 (± 1.169),100.000 (± 0.000),10.627 (± 2.168),20.967 (± 1.408),51.005 (± 1.169),100.000 (± 0.000),100.000 (± 0.000),10.627 (± 2.168),85.978 (± 0.581),83.658 (± 0.418),89.832 (± 0.756),50.527 (± 0.858),0.486 (± 1.753),0.713 (± 2.396)
pl,--,--,11.453 (± 3.235),23.600 (± 2.492),55.483 (± 1.553),100.000 (± 0.000),11.453 (± 3.235),23.600 (± 2.492),55.483 (± 1.553),100.000 (± 0.000),100.000 (± 0.000),11.453 (± 3.235),86.225 (± 0.772),84.929 (± 0.619),88.973 (± 0.809),54.994 (± 1.163),-0.404 (± 1.983),-0.618 (± 2.579)
pl_reg,--,--,13.107 (± 2.380),23.513 (± 1.969),54.021 (± 1.432),100.000 (± 0.000),13.107 (± 2.380),23.513 (± 1.969),54.021 (± 1.432),100.000 (± 0.000),100.000 (± 0.000),13.107 (± 2.380),86.383 (± 0.676),84.786 (± 0.519),89.184 (± 1.095),53.934 (± 1.006),-0.275 (± 2.403),-0.294 (± 3.165)
