Model,alpha,beta,@recall_1,@recall_2,@recall_5,@recall_10,@precision_1,@precision_2,@precision_5,@precision_10,@mmr,@ndcg1,@ndcg5,@ndcg10,hamming,pairwise_acc,Kendall_tau,Spearman_rho
our,0.100 (± 0.000),0.041 (± 0.002),4.747 (± 1.530),10.007 (± 1.078),16.365 (± 0.640),28.071 (± 0.686),4.747 (± 1.530),10.007 (± 1.078),16.365 (± 0.640),28.071 (± 0.686),51.083 (± 2.030),4.747 (± 1.530),87.637 (± 0.511),86.859 (± 0.368),98.320 (± 0.117),65.757 (± 0.165),31.340 (± 0.351),45.233 (± 0.477)
L1,1.000 (± 0.000),0.049 (± 0.000),4.720 (± 1.565),10.300 (± 1.020),16.405 (± 0.568),28.312 (± 0.712),4.720 (± 1.565),10.300 (± 1.020),16.405 (± 0.568),28.312 (± 0.712),51.082 (± 1.829),4.720 (± 1.565),87.590 (± 0.500),86.794 (± 0.377),98.300 (± 0.108),65.744 (± 0.162),31.355 (± 0.345),45.253 (± 0.472)
L2,2.000 (± 0.000),0.049 (± 0.000),5.560 (± 1.518),12.080 (± 1.391),17.139 (± 0.549),28.121 (± 0.733),5.560 (± 1.518),12.080 (± 1.391),17.139 (± 0.549),28.121 (± 0.733),55.363 (± 1.946),5.560 (± 1.518),88.429 (± 0.515),87.450 (± 0.391),98.283 (± 0.108),65.737 (± 0.165),31.396 (± 0.347),45.306 (± 0.472)
tau,--,--,2.520 (± 1.231),5.193 (± 1.106),11.416 (± 0.935),19.664 (± 0.720),2.520 (± 1.231),5.193 (± 1.106),11.416 (± 0.935),19.664 (± 0.720),42.771 (± 2.376),2.520 (± 1.231),90.204 (± 0.489),88.575 (± 0.375),98.627 (± 0.095),59.685 (± 0.260),13.903 (± 0.499),20.580 (± 0.750)
pl,--,--,1.867 (± 1.075),3.907 (± 1.085),9.048 (± 1.100),16.277 (± 1.067),1.867 (± 1.075),3.907 (± 1.085),9.048 (± 1.100),16.277 (± 1.067),36.325 (± 2.934),1.867 (± 1.075),88.850 (± 0.661),87.051 (± 0.552),98.225 (± 0.109),61.567 (± 0.387),17.609 (± 0.650),26.044 (± 0.960)
pl_reg,--,--,1.547 (± 0.848),2.967 (± 0.898),7.309 (± 0.989),13.775 (± 0.837),1.547 (± 0.848),2.967 (± 0.898),7.309 (± 0.989),13.775 (± 0.837),31.956 (± 2.771),1.547 (± 0.848),87.466 (± 0.786),85.487 (± 0.629),98.496 (± 0.097),57.712 (± 0.288),11.965 (± 0.511),17.745 (± 0.731)
