Model,alpha,beta,@recall_1,@recall_2,@recall_5,@recall_10,@precision_1,@precision_2,@precision_5,@precision_10,@mmr,@ndcg1,@ndcg5,@ndcg10,hamming,pairwise_acc,Kendall_tau,Spearman_rho
our,0.950 (± 0.056),0.096 (± 0.008),13.973 (± 1.769),25.607 (± 1.563),53.283 (± 0.747),100.000 (± 0.000),13.973 (± 1.769),25.607 (± 1.563),53.283 (± 0.747),100.000 (± 0.000),100.000 (± 0.000),13.973 (± 1.769),87.210 (± 0.368),84.987 (± 0.292),89.027 (± 0.537),52.851 (± 0.604),5.976 (± 1.204),8.128 (± 1.683)
L1,1.000 (± 0.000),0.086 (± 0.001),13.927 (± 1.759),25.563 (± 1.559),53.251 (± 0.758),100.000 (± 0.000),13.927 (± 1.759),25.563 (± 1.559),53.251 (± 0.758),100.000 (± 0.000),100.000 (± 0.000),13.927 (± 1.759),87.186 (± 0.375),84.966 (± 0.301),89.036 (± 0.539),52.812 (± 0.616),5.964 (± 1.213),8.111 (± 1.693)
L2,2.000 (± 0.000),0.011 (± 0.000),13.487 (± 1.589),24.880 (± 1.475),53.207 (± 0.806),100.000 (± 0.000),13.487 (± 1.589),24.880 (± 1.475),53.207 (± 0.806),100.000 (± 0.000),100.000 (± 0.000),13.487 (± 1.589),86.965 (± 0.347),84.809 (± 0.277),89.149 (± 0.549),52.602 (± 0.593),5.624 (± 1.254),7.646 (± 1.748)
tau,--,--,12.007 (± 1.918),23.247 (± 1.643),53.296 (± 0.738),100.000 (± 0.000),12.007 (± 1.918),23.247 (± 1.643),53.296 (± 0.738),100.000 (± 0.000),100.000 (± 0.000),12.007 (± 1.918),86.794 (± 0.409),84.750 (± 0.313),89.251 (± 0.587),53.105 (± 0.586),2.358 (± 1.380),3.238 (± 1.829)
pl,--,--,15.500 (± 2.146),28.183 (± 1.435),58.003 (± 0.759),100.000 (± 0.000),15.500 (± 2.146),28.183 (± 1.435),58.003 (± 0.759),100.000 (± 0.000),100.000 (± 0.000),15.500 (± 2.146),88.044 (± 0.436),86.555 (± 0.355),87.650 (± 0.587),57.864 (± 0.674),5.831 (± 1.455),7.929 (± 1.928)
pl_reg,--,--,13.253 (± 2.191),24.047 (± 1.906),55.075 (± 0.962),100.000 (± 0.000),13.253 (± 2.191),24.047 (± 1.906),55.075 (± 0.962),100.000 (± 0.000),100.000 (± 0.000),13.253 (± 2.191),87.075 (± 0.535),85.306 (± 0.446),88.775 (± 0.620),54.945 (± 0.797),3.431 (± 1.425),4.568 (± 1.883)
