Model,alpha,beta,@top_1,@top_5,@top_10,tau,hamming,ndcg@1,ndcg@2,ndcg@3,ulam_correlation,cayley_correlation,map,tvd_top5,tvd_first
our,1.006(± 0.033),0.208(± 0.046),28.026 (± 0.064),91.688 (± 0.259),100.000 (± 0.000),25.998 (± 0.067),84.759 (± 0.022),78.885 (± 0.047),80.328 (± 0.037),82.285 (± 0.035),43.898 (± 0.020),25.356 (± 0.018),75.493 (± 0.049),31.424 (± 0.089),44.187 (± 0.063)
L1,1.000(± 0.000),0.211(± 0.049),28.193 (± 0.068),91.749 (± 0.258),100.000 (± 0.000),26.048 (± 0.068),84.723 (± 0.022),79.003 (± 0.051),80.446 (± 0.037),82.371 (± 0.033),43.898 (± 0.020),25.366 (± 0.018),75.590 (± 0.047),31.433 (± 0.090),43.850 (± 0.064)
L2,2.000(± 0.000),0.037(± 0.000),25.731 (± 0.041),90.550 (± 0.208),100.000 (± 0.000),25.298 (± 0.066),84.732 (± 0.012),77.433 (± 0.028),80.146 (± 0.028),82.044 (± 0.029),43.668 (± 0.018),25.544 (± 0.019),75.473 (± 0.047),31.089 (± 0.086),48.667 (± 0.000)
tau,--,--,19.139 (± 0.044),72.985 (± 0.043),100.000 (± 0.000),21.114 (± 0.054),86.824 (± 0.018),75.635 (± 0.030),77.249 (± 0.036),79.075 (± 0.030),39.125 (± 0.011),24.648 (± 0.017),76.710 (± 0.029),21.824 (± 0.079),61.673 (± 0.061)
pl,--,--,40.023 (± 0.171),98.745 (± 0.045),100.000 (± 0.000),45.982 (± 0.094),78.050 (± 0.063),95.715 (± 0.122),96.947 (± 0.098),96.796 (± 0.065),43.190 (± 0.025),33.836 (± 0.052),88.927 (± 0.054),14.965 (± 0.088),26.080 (± 0.383)
BT,--,--,21.342 (± 0.220),86.679 (± 0.400),100.000 (± 0.000),39.579 (± 0.652),84.532 (± 0.103),81.142 (± 0.272),83.949 (± 0.275),86.688 (± 0.266),38.517 (± 0.096),29.620 (± 0.336),82.215 (± 0.213),18.752 (± 0.340),57.487 (± 0.417)
pl_reg,--,--,39.853 (± 0.188),98.770 (± 0.050),100.000 (± 0.000),46.014 (± 0.094),78.061 (± 0.058),95.574 (± 0.120),96.984 (± 0.085),96.794 (± 0.058),43.186 (± 0.023),33.869 (± 0.050),88.899 (± 0.051),14.935 (± 0.094),26.213 (± 0.410)
