Model,alpha,beta,@recall_1,@recall_2,@recall_5,@recall_10,@precision_1,@precision_2,@precision_5,@precision_10,@mmr,@ndcg1,@ndcg5,@ndcg10,hamming,pairwise_acc,Kendall_tau,Spearman_rho
our,0.100 (± 0.000),0.509 (± 0.019),17.533 (± 2.010),22.833 (± 1.793),49.877 (± 1.242),100.000 (± 0.000),17.533 (± 2.010),22.833 (± 1.793),49.877 (± 1.242),100.000 (± 0.000),100.000 (± 0.000),17.533 (± 2.010),85.727 (± 0.616),83.762 (± 0.487),89.135 (± 0.998),50.767 (± 0.909),0.770 (± 2.246),0.980 (± 3.143)
L1,1.000 (± 0.000),0.043 (± 0.003),12.320 (± 1.724),21.680 (± 1.625),50.072 (± 1.279),100.000 (± 0.000),12.320 (± 1.724),21.680 (± 1.625),50.072 (± 1.279),100.000 (± 0.000),100.000 (± 0.000),12.320 (± 1.724),85.413 (± 0.586),83.501 (± 0.406),89.680 (± 0.965),50.800 (± 0.755),0.707 (± 2.284),0.805 (± 3.134)
L2,2.000 (± 0.000),0.002 (± 0.001),11.947 (± 1.990),22.160 (± 1.838),50.451 (± 1.151),100.000 (± 0.000),11.947 (± 1.990),22.160 (± 1.838),50.451 (± 1.151),100.000 (± 0.000),100.000 (± 0.000),11.947 (± 1.990),85.639 (± 0.644),83.622 (± 0.477),89.452 (± 0.981),51.119 (± 0.787),0.869 (± 2.280),1.092 (± 3.088)
tau,--,--,10.627 (± 2.168),20.967 (± 1.408),51.005 (± 1.169),100.000 (± 0.000),10.627 (± 2.168),20.967 (± 1.408),51.005 (± 1.169),100.000 (± 0.000),100.000 (± 0.000),10.627 (± 2.168),85.978 (± 0.581),83.658 (± 0.418),89.832 (± 0.756),50.527 (± 0.858),0.486 (± 1.753),0.713 (± 2.396)
pl,--,--,11.533 (± 2.430),23.027 (± 2.211),55.483 (± 1.350),100.000 (± 0.000),11.533 (± 2.430),23.027 (± 2.211),55.483 (± 1.350),100.000 (± 0.000),100.000 (± 0.000),11.533 (± 2.430),86.224 (± 0.596),84.919 (± 0.457),89.052 (± 0.728),54.964 (± 0.945),-0.638 (± 1.527),-0.937 (± 1.985)
pl_reg,--,--,11.867 (± 2.487),23.360 (± 1.625),54.091 (± 1.347),100.000 (± 0.000),11.867 (± 2.487),23.360 (± 1.625),54.091 (± 1.347),100.000 (± 0.000),100.000 (± 0.000),11.867 (± 2.487),86.419 (± 0.669),84.730 (± 0.484),89.460 (± 0.881),53.876 (± 0.934),0.130 (± 1.783),0.210 (± 2.416)
