Model,alpha,beta,@top_1,@top_5,@top_10,tau,hamming,ndcg@1,ndcg@2,ndcg@3,ulam_correlation,cayley_correlation,map,tvd_top5,tvd_first
our,0.768(± 0.070),0.032(± 0.100),5.521 (± 0.058),20.810 (± 0.224),52.467 (± 0.204),7.359 (± 0.051),91.327 (± 0.013),65.571 (± 0.047),67.617 (± 0.037),69.466 (± 0.033),34.964 (± 0.015),17.694 (± 0.008),62.379 (± 0.044),55.814 (± 0.108),74.567 (± 0.266)
L1,1.000(± 0.000),0.037(± 0.000),5.682 (± 0.059),21.075 (± 0.227),51.695 (± 0.189),7.513 (± 0.049),91.243 (± 0.011),66.380 (± 0.028),68.192 (± 0.027),69.853 (± 0.027),34.993 (± 0.015),17.780 (± 0.008),63.193 (± 0.029),55.551 (± 0.103),74.560 (± 0.267)
L2,2.000(± 0.000),0.037(± 0.000),6.401 (± 0.067),22.379 (± 0.235),48.713 (± 0.228),9.055 (± 0.048),90.165 (± 0.011),69.551 (± 0.027),71.898 (± 0.027),72.730 (± 0.027),35.404 (± 0.018),18.506 (± 0.011),67.359 (± 0.026),54.528 (± 0.059),74.547 (± 0.270)
tau,--,--,10.018 (± 0.051),46.156 (± 0.085),79.899 (± 0.043),14.784 (± 0.075),91.529 (± 0.014),66.536 (± 0.057),67.617 (± 0.062),69.070 (± 0.051),32.885 (± 0.004),18.180 (± 0.009),60.215 (± 0.046),46.121 (± 0.080),68.533 (± 0.166)
pl,--,--,9.760 (± 0.111),42.536 (± 0.292),77.510 (± 0.235),31.330 (± 0.102),88.115 (± 0.046),80.920 (± 0.139),81.602 (± 0.106),81.950 (± 0.088),34.142 (± 0.015),21.758 (± 0.031),76.613 (± 0.110),36.939 (± 0.126),71.563 (± 0.305)
BT,--,--,16.075 (± 0.350),75.707 (± 0.492),99.226 (± 0.095),30.144 (± 0.775),88.953 (± 0.105),67.245 (± 0.936),70.472 (± 0.638),73.365 (± 0.523),33.422 (± 0.072),19.932 (± 0.191),66.640 (± 0.456),38.471 (± 0.352),65.020 (± 0.731)
pl_reg,--,--,9.784 (± 0.109),42.853 (± 0.256),77.399 (± 0.222),31.432 (± 0.086),88.166 (± 0.033),81.185 (± 0.131),81.764 (± 0.089),82.036 (± 0.071),34.139 (± 0.016),21.790 (± 0.027),76.741 (± 0.095),36.915 (± 0.115),71.613 (± 0.292)
