Model,alpha,beta,@recall_1,@recall_2,@recall_5,@recall_10,@precision_1,@precision_2,@precision_5,@precision_10,@mmr,@ndcg1,@ndcg5,@ndcg10,hamming,pairwise_acc,Kendall_tau,Spearman_rho
our,0.168 (± 0.005),1.452 (± 0.006),54.807 (± 2.187),59.363 (± 1.240),63.628 (± 1.045),100.000 (± 0.000),54.807 (± 2.187),59.363 (± 1.240),63.628 (± 1.045),100.000 (± 0.000),100.000 (± 0.000),54.807 (± 2.187),90.995 (± 0.546),90.078 (± 0.464),63.642 (± 1.114),67.820 (± 0.810),39.083 (± 1.650),45.671 (± 2.083)
L1,1.000 (± 0.000),0.346 (± 0.005),38.753 (± 2.008),48.333 (± 1.081),60.845 (± 0.918),100.000 (± 0.000),38.753 (± 2.008),48.333 (± 1.081),60.845 (± 0.918),100.000 (± 0.000),100.000 (± 0.000),38.753 (± 2.008),90.560 (± 0.498),89.062 (± 0.423),79.215 (± 0.592),62.037 (± 0.696),35.266 (± 1.502),44.204 (± 2.011)
L2,2.000 (± 0.000),0.043 (± 0.001),27.833 (± 1.822),39.837 (± 1.009),58.797 (± 0.796),100.000 (± 0.000),27.833 (± 1.822),39.837 (± 1.009),58.797 (± 0.796),100.000 (± 0.000),100.000 (± 0.000),27.833 (± 1.822),89.811 (± 0.431),88.040 (± 0.349),84.891 (± 0.582),58.945 (± 0.664),28.806 (± 1.361),38.055 (± 1.814)
tau,--,--,27.107 (± 1.974),49.380 (± 1.204),64.824 (± 1.066),100.000 (± 0.000),27.107 (± 1.974),49.380 (± 1.204),64.824 (± 1.066),100.000 (± 0.000),100.000 (± 0.000),27.107 (± 1.974),91.877 (± 0.336),90.865 (± 0.301),82.623 (± 0.584),67.959 (± 0.753),22.002 (± 1.537),28.131 (± 2.046)
pl,--,--,11.060 (± 1.656),27.943 (± 1.620),58.812 (± 0.841),100.000 (± 0.000),11.060 (± 1.656),27.943 (± 1.620),58.812 (± 0.841),100.000 (± 0.000),100.000 (± 0.000),11.060 (± 1.656),89.262 (± 0.439),87.739 (± 0.352),78.492 (± 0.710),64.123 (± 0.695),7.306 (± 1.162),7.775 (± 1.565)
pl_reg,--,--,10.927 (± 1.662),27.803 (± 1.767),58.997 (± 0.963),100.000 (± 0.000),10.927 (± 1.662),27.803 (± 1.767),58.997 (± 0.963),100.000 (± 0.000),100.000 (± 0.000),10.927 (± 1.662),89.277 (± 0.416),87.768 (± 0.334),78.641 (± 0.971),64.117 (± 0.776),7.587 (± 1.170),8.152 (± 1.536)
