Model,alpha,beta,@top_1,@top_5,@top_10,tau,hamming,ndcg@1,ndcg@2,ndcg@3,ulam_correlation,cayley_correlation,map,tvd_top5,tvd_first
our,0.266(± 0.005),0.031(± 0.116),1.907 (± 0.085),18.656 (± 0.485),19.966 (± 0.472),31.887 (± 0.046),97.267 (± 0.032),59.885 (± 0.112),63.453 (± 0.068),65.586 (± 0.055),20.274 (± 0.012),5.193 (± 0.005),27.923 (± 0.204),81.409 (± 0.132),89.047 (± 0.228)
L1,1.000(± 0.000),0.037(± 0.000),2.107 (± 0.095),18.521 (± 0.524),19.783 (± 0.507),31.912 (± 0.046),97.196 (± 0.034),60.417 (± 0.107),63.353 (± 0.065),65.593 (± 0.053),20.275 (± 0.012),5.200 (± 0.005),28.452 (± 0.206),81.047 (± 0.132),87.940 (± 0.250)
L2,2.000(± 0.000),0.037(± 0.000),2.710 (± 0.106),21.840 (± 0.618),22.829 (± 0.605),32.078 (± 0.046),96.814 (± 0.058),62.060 (± 0.119),64.290 (± 0.073),66.321 (± 0.082),20.275 (± 0.012),5.251 (± 0.006),33.145 (± 0.225),78.846 (± 0.126),85.047 (± 0.328)
tau,--,--,1.736 (± 0.019),9.653 (± 0.031),18.002 (± 0.025),12.675 (± 0.025),98.350 (± 0.007),59.983 (± 0.081),61.154 (± 0.077),61.440 (± 0.056),16.472 (± 0.002),4.449 (± 0.002),17.637 (± 0.052),78.045 (± 0.084),95.283 (± 0.104)
pl,--,--,10.591 (± 0.176),47.906 (± 0.347),73.244 (± 0.274),44.335 (± 0.050),93.953 (± 0.041),86.030 (± 0.098),85.900 (± 0.078),85.754 (± 0.062),17.960 (± 0.002),5.786 (± 0.006),53.264 (± 0.162),52.323 (± 0.139),83.400 (± 0.225)
BT,--,--,2.990 (± 0.331),27.998 (± 0.790),61.529 (± 1.076),14.238 (± 0.325),95.435 (± 0.108),56.487 (± 2.441),61.726 (± 1.843),65.517 (± 1.491),16.732 (± 0.019),4.865 (± 0.014),35.651 (± 1.155),64.360 (± 0.611),93.480 (± 0.668)
pl_reg,--,--,10.749 (± 0.159),48.133 (± 0.325),73.263 (± 0.280),44.358 (± 0.048),93.910 (± 0.038),86.371 (± 0.098),86.117 (± 0.076),85.928 (± 0.063),17.971 (± 0.003),5.786 (± 0.005),53.563 (± 0.158),52.003 (± 0.135),83.210 (± 0.218)
