Model,alpha,beta,@top_1,@top_5,@top_10,tau,hamming,ndcg@1,ndcg@2,ndcg@3,ulam_correlation,cayley_correlation,map,tvd_top5,tvd_first
our,0.746(± 0.000),0.042(± 0.000),13.602 (± 0.000),54.496 (± 0.000),80.057 (± 0.000),15.392 (± 0.000),90.206 (± 0.000),70.379 (± 0.000),71.338 (± 0.000),72.782 (± 0.000),35.981 (± 0.000),18.284 (± 0.000),65.499 (± 0.000),31.401 (± 0.000),43.200 (± 0.000)
L1,1.000(± 0.000),0.037(± 0.000),13.613 (± 0.000),54.330 (± 0.000),80.040 (± 0.000),15.361 (± 0.000),90.211 (± 0.000),70.472 (± 0.000),71.466 (± 0.000),72.818 (± 0.000),35.992 (± 0.000),18.276 (± 0.000),65.573 (± 0.000),31.868 (± 0.000),43.534 (± 0.000)
L2,2.000(± 0.000),0.037(± 0.000),12.911 (± 0.000),54.900 (± 0.000),79.844 (± 0.000),15.553 (± 0.000),90.225 (± 0.000),70.120 (± 0.000),71.933 (± 0.000),73.191 (± 0.000),36.118 (± 0.000),18.255 (± 0.000),65.791 (± 0.000),33.868 (± 0.000),47.534 (± 0.000)
tau,--,--,7.249 (± 0.000),37.128 (± 0.000),70.053 (± 0.000),3.641 (± 0.000),92.860 (± 0.000),58.679 (± 0.000),60.191 (± 0.000),62.420 (± 0.000),32.747 (± 0.000),16.910 (± 0.000),54.155 (± 0.000),18.074 (± 0.000),37.545 (± 0.000)
pl,--,--,10.675 (± 0.000),47.512 (± 0.000),82.423 (± 0.000),15.849 (± 0.000),91.387 (± 0.000),66.503 (± 0.000),67.536 (± 0.000),69.234 (± 0.000),33.593 (± 0.000),18.466 (± 0.000),61.700 (± 0.000),7.021 (± 0.000),24.300 (± 0.000)
BT,--,--,8.748 (± 0.000),42.494 (± 0.000),78.369 (± 0.000),5.756 (± 0.000),92.761 (± 0.000),58.733 (± 0.000),60.315 (± 0.000),61.916 (± 0.000),32.728 (± 0.000),17.201 (± 0.000),53.701 (± 0.000),23.823 (± 0.000),37.191 (± 0.000)
pl_reg,--,--,10.809 (± 0.000),47.801 (± 0.000),81.780 (± 0.000),14.925 (± 0.000),91.387 (± 0.000),66.214 (± 0.000),66.982 (± 0.000),68.448 (± 0.000),33.549 (± 0.000),18.350 (± 0.000),61.097 (± 0.000),6.984 (± 0.000),20.558 (± 0.000)
