Model,alpha,beta,@top_1,@top_5,@top_10,tau,hamming,ndcg@1,ndcg@2,ndcg@3,ulam_correlation,cayley_correlation,map,tvd_top5,tvd_first
our,0.356(± 0.009),0.034(± 0.108),10.563 (± 0.173),21.321 (± 0.353),22.461 (± 0.349),25.877 (± 0.027),94.520 (± 0.042),55.178 (± 0.132),57.214 (± 0.084),58.804 (± 0.065),25.739 (± 0.015),8.416 (± 0.009),27.034 (± 0.114),79.860 (± 0.105),86.333 (± 0.096)
L1,1.000(± 0.000),0.037(± 0.000),9.650 (± 0.150),20.127 (± 0.343),21.249 (± 0.340),25.886 (± 0.027),94.490 (± 0.042),54.337 (± 0.107),56.270 (± 0.068),58.308 (± 0.055),25.737 (± 0.015),8.423 (± 0.009),26.663 (± 0.112),79.689 (± 0.104),87.470 (± 0.072)
L2,2.000(± 0.000),0.037(± 0.000),10.771 (± 0.197),23.686 (± 0.363),24.804 (± 0.361),26.326 (± 0.031),93.963 (± 0.056),54.331 (± 0.138),56.457 (± 0.087),58.941 (± 0.075),25.738 (± 0.016),8.490 (± 0.010),28.722 (± 0.141),78.471 (± 0.111),86.093 (± 0.151)
tau,--,--,5.091 (± 0.024),23.081 (± 0.053),37.754 (± 0.083),17.148 (± 0.044),96.217 (± 0.015),65.104 (± 0.075),66.345 (± 0.062),67.066 (± 0.053),22.088 (± 0.003),7.759 (± 0.003),34.665 (± 0.111),66.349 (± 0.101),87.993 (± 0.132)
pl,--,--,11.804 (± 0.158),54.451 (± 0.331),78.163 (± 0.281),32.152 (± 0.061),93.478 (± 0.038),81.297 (± 0.131),80.939 (± 0.096),80.693 (± 0.081),22.918 (± 0.004),8.817 (± 0.008),58.643 (± 0.161),52.075 (± 0.132),81.600 (± 0.213)
BT,--,--,4.896 (± 0.335),31.781 (± 0.613),64.278 (± 0.776),25.725 (± 0.376),94.828 (± 0.107),66.297 (± 1.156),68.531 (± 0.786),69.788 (± 0.641),22.666 (± 0.036),8.595 (± 0.033),41.576 (± 0.961),61.766 (± 0.600),89.407 (± 0.719)
pl_reg,--,--,11.562 (± 0.165),53.945 (± 0.323),77.839 (± 0.276),32.166 (± 0.057),93.484 (± 0.041),80.910 (± 0.118),80.805 (± 0.091),80.543 (± 0.075),22.909 (± 0.004),8.826 (± 0.009),58.420 (± 0.163),52.167 (± 0.124),81.970 (± 0.210)
