Model,alpha,beta,@recall_1,@recall_2,@recall_5,@recall_10,@precision_1,@precision_2,@precision_5,@precision_10,@mmr,@ndcg1,@ndcg5,@ndcg10,hamming,pairwise_acc,Kendall_tau,Spearman_rho
our,0.100 (± 0.000),0.015 (± 0.000),1.813 (± 0.998),9.180 (± 0.806),12.360 (± 1.357),25.543 (± 0.995),1.813 (± 0.998),9.180 (± 0.806),12.360 (± 1.357),25.543 (± 0.995),38.675 (± 1.183),1.813 (± 0.998),88.213 (± 0.392),88.947 (± 0.284),98.131 (± 0.113),65.887 (± 0.238),23.323 (± 0.409),33.013 (± 0.548)
L1,1.000 (± 0.000),0.049 (± 0.000),1.973 (± 1.185),10.113 (± 0.866),13.288 (± 1.192),25.745 (± 0.917),1.973 (± 1.185),10.113 (± 0.866),13.288 (± 1.192),25.745 (± 0.917),40.346 (± 0.944),1.973 (± 1.185),88.108 (± 0.391),88.979 (± 0.286),98.113 (± 0.114),65.921 (± 0.241),23.335 (± 0.416),33.025 (± 0.553)
L2,2.000 (± 0.000),0.049 (± 0.000),2.147 (± 0.836),12.540 (± 0.968),16.192 (± 1.408),27.409 (± 0.906),2.147 (± 0.836),12.540 (± 0.968),16.192 (± 1.408),27.409 (± 0.906),47.419 (± 1.250),2.147 (± 0.836),89.036 (± 0.397),89.886 (± 0.295),98.077 (± 0.108),66.081 (± 0.236),23.347 (± 0.415),33.038 (± 0.548)
tau,--,--,1.693 (± 0.669),4.173 (± 0.728),9.147 (± 0.587),16.001 (± 0.587),1.693 (± 0.669),4.173 (± 0.728),9.147 (± 0.587),16.001 (± 0.587),36.846 (± 1.773),1.693 (± 0.669),88.779 (± 0.433),87.410 (± 0.335),98.799 (± 0.087),56.601 (± 0.182),3.047 (± 0.481),4.540 (± 0.715)
pl,--,--,2.640 (± 1.177),4.773 (± 0.974),10.784 (± 0.869),19.384 (± 0.959),2.640 (± 1.177),4.773 (± 0.974),10.784 (± 0.869),19.384 (± 0.959),41.072 (± 2.672),2.640 (± 1.177),90.594 (± 0.504),89.133 (± 0.393),98.128 (± 0.164),67.533 (± 0.294),6.779 (± 0.558),9.992 (± 0.797)
pl_reg,--,--,2.267 (± 1.373),3.987 (± 1.009),9.357 (± 1.065),17.272 (± 0.792),2.267 (± 1.373),3.987 (± 1.009),9.357 (± 1.065),17.272 (± 0.792),37.889 (± 2.390),2.267 (± 1.373),89.373 (± 0.578),87.715 (± 0.422),98.197 (± 0.135),64.091 (± 0.265),5.284 (± 0.504),7.834 (± 0.712)
