Model,alpha,beta,@top_1,@top_5,@top_10,tau,hamming,ndcg@1,ndcg@2,ndcg@3,ulam_correlation,cayley_correlation,map,tvd_top5,tvd_first
our,0.287(± 0.005),0.032(± 0.100),12.884 (± 0.088),56.574 (± 0.258),77.388 (± 0.295),56.358 (± 0.060),91.684 (± 0.031),88.371 (± 0.052),88.340 (± 0.053),88.672 (± 0.053),24.709 (± 0.015),6.818 (± 0.008),61.230 (± 0.118),54.125 (± 0.110),54.567 (± 0.235)
L1,1.000(± 0.000),0.037(± 0.000),12.914 (± 0.086),57.510 (± 0.265),77.699 (± 0.292),56.364 (± 0.060),91.557 (± 0.031),88.810 (± 0.050),88.741 (± 0.051),88.967 (± 0.051),24.716 (± 0.015),6.830 (± 0.008),61.825 (± 0.116),53.569 (± 0.110),53.717 (± 0.208)
L2,2.000(± 0.000),0.037(± 0.000),12.584 (± 0.086),58.383 (± 0.268),78.434 (± 0.281),56.451 (± 0.061),91.509 (± 0.032),89.523 (± 0.049),89.423 (± 0.050),89.581 (± 0.050),24.735 (± 0.015),6.854 (± 0.008),62.466 (± 0.126),53.688 (± 0.110),56.447 (± 0.262)
tau,--,--,3.494 (± 0.021),15.367 (± 0.059),27.525 (± 0.077),28.391 (± 0.038),97.421 (± 0.007),70.305 (± 0.066),70.770 (± 0.049),71.139 (± 0.041),18.576 (± 0.004),4.916 (± 0.002),26.313 (± 0.068),71.047 (± 0.103),84.750 (± 0.154)
pl,--,--,8.873 (± 0.091),35.098 (± 0.245),52.826 (± 0.288),39.297 (± 0.036),94.605 (± 0.023),79.271 (± 0.105),79.135 (± 0.080),79.079 (± 0.070),19.799 (± 0.005),5.519 (± 0.003),48.014 (± 0.183),59.756 (± 0.115),66.320 (± 0.268)
BT,--,--,3.127 (± 0.322),26.253 (± 0.591),52.086 (± 0.867),21.863 (± 0.376),95.854 (± 0.107),69.259 (± 1.861),72.172 (± 1.190),73.909 (± 0.940),17.810 (± 0.036),4.900 (± 0.019),33.889 (± 1.003),62.925 (± 0.688),85.880 (± 1.454)
pl_reg,--,--,8.908 (± 0.114),35.271 (± 0.249),52.887 (± 0.290),39.256 (± 0.035),94.539 (± 0.027),79.427 (± 0.134),79.233 (± 0.099),79.147 (± 0.081),19.800 (± 0.005),5.522 (± 0.003),48.342 (± 0.216),59.663 (± 0.132),66.267 (± 0.349)
