Model,alpha,beta,@recall_1,@recall_2,@recall_5,@recall_10,@precision_1,@precision_2,@precision_5,@precision_10,@mmr,@ndcg1,@ndcg5,@ndcg10,hamming,pairwise_acc,Kendall_tau,Spearman_rho
our,1.084 (± 0.041),0.180 (± 0.014),21.440 (± 2.284),36.727 (± 0.723),57.091 (± 0.940),100.000 (± 0.000),21.440 (± 2.284),36.727 (± 0.723),57.091 (± 0.940),100.000 (± 0.000),100.000 (± 0.000),21.440 (± 2.284),89.508 (± 0.311),87.919 (± 0.248),87.084 (± 0.882),59.576 (± 0.456),18.357 (± 1.494),25.004 (± 2.109)
L1,1.000 (± 0.000),0.211 (± 0.004),20.920 (± 2.286),35.853 (± 0.608),57.048 (± 0.927),100.000 (± 0.000),20.920 (± 2.286),35.853 (± 0.608),57.048 (± 0.927),100.000 (± 0.000),100.000 (± 0.000),20.920 (± 2.286),89.329 (± 0.265),87.774 (± 0.200),87.176 (± 0.781),59.503 (± 0.430),18.273 (± 1.515),24.881 (± 2.133)
L2,2.000 (± 0.000),0.031 (± 0.001),21.653 (± 2.306),36.247 (± 0.524),57.912 (± 0.983),100.000 (± 0.000),21.653 (± 2.306),36.247 (± 0.524),57.912 (± 0.983),100.000 (± 0.000),100.000 (± 0.000),21.653 (± 2.306),89.368 (± 0.287),87.800 (± 0.206),87.309 (± 0.920),58.960 (± 0.480),17.621 (± 1.620),24.101 (± 2.211)
tau,--,--,19.893 (± 2.225),34.647 (± 0.725),60.760 (± 1.110),100.000 (± 0.000),19.893 (± 2.225),34.647 (± 0.725),60.760 (± 1.110),100.000 (± 0.000),100.000 (± 0.000),19.893 (± 2.225),89.522 (± 0.330),88.143 (± 0.262),87.361 (± 0.804),60.493 (± 0.524),8.381 (± 1.724),11.461 (± 2.199)
pl,--,--,26.587 (± 4.059),49.440 (± 2.552),72.891 (± 0.896),100.000 (± 0.000),26.587 (± 4.059),49.440 (± 2.552),72.891 (± 0.896),100.000 (± 0.000),100.000 (± 0.000),26.587 (± 4.059),92.868 (± 0.465),92.801 (± 0.368),79.373 (± 1.135),75.496 (± 0.630),17.605 (± 1.881),23.911 (± 2.503)
pl_reg,--,--,23.413 (± 3.224),43.353 (± 2.589),70.093 (± 1.241),100.000 (± 0.000),23.413 (± 3.224),43.353 (± 2.589),70.093 (± 1.241),100.000 (± 0.000),100.000 (± 0.000),23.413 (± 3.224),91.831 (± 0.497),91.558 (± 0.404),81.381 (± 1.404),72.252 (± 0.792),14.647 (± 1.936),19.948 (± 2.608)
