Model,alpha,beta,@recall_1,@recall_2,@recall_5,@recall_10,@precision_1,@precision_2,@precision_5,@precision_10,@mmr,@ndcg1,@ndcg5,@ndcg10,hamming,pairwise_acc,Kendall_tau,Spearman_rho
our,0.860 (± 0.278),0.108 (± 0.109),9.967 (± 1.956),19.650 (± 1.587),52.020 (± 0.961),100.000 (± 0.000),9.967 (± 1.956),19.650 (± 1.587),52.020 (± 0.961),100.000 (± 0.000),100.000 (± 0.000),9.967 (± 1.956),85.725 (± 0.448),83.680 (± 0.365),89.297 (± 0.596),51.531 (± 0.682),4.053 (± 1.395),5.618 (± 1.804)
L1,1.000 (± 0.000),0.061 (± 0.002),9.813 (± 1.810),19.487 (± 1.548),51.953 (± 0.939),100.000 (± 0.000),9.813 (± 1.810),19.487 (± 1.548),51.953 (± 0.939),100.000 (± 0.000),100.000 (± 0.000),9.813 (± 1.810),85.697 (± 0.437),83.642 (± 0.334),89.291 (± 0.634),51.470 (± 0.645),4.107 (± 1.374),5.692 (± 1.776)
L2,2.000 (± 0.000),0.008 (± 0.000),9.487 (± 1.794),19.110 (± 1.444),51.807 (± 0.907),100.000 (± 0.000),9.487 (± 1.794),19.110 (± 1.444),51.807 (± 0.907),100.000 (± 0.000),100.000 (± 0.000),9.487 (± 1.794),85.563 (± 0.438),83.528 (± 0.311),89.389 (± 0.624),51.268 (± 0.631),3.939 (± 1.351),5.456 (± 1.760)
tau,--,--,12.240 (± 2.053),22.400 (± 1.429),52.649 (± 0.899),100.000 (± 0.000),12.240 (± 2.053),22.400 (± 1.429),52.649 (± 0.899),100.000 (± 0.000),100.000 (± 0.000),12.240 (± 2.053),86.738 (± 0.410),84.518 (± 0.320),89.282 (± 0.626),52.457 (± 0.600),0.819 (± 1.391),1.167 (± 1.897)
pl,--,--,13.340 (± 2.074),25.303 (± 2.219),55.885 (± 1.699),100.000 (± 0.000),13.340 (± 2.074),25.303 (± 2.219),55.885 (± 1.699),100.000 (± 0.000),100.000 (± 0.000),13.340 (± 2.074),87.681 (± 0.663),85.809 (± 0.637),87.691 (± 0.640),56.338 (± 1.470),3.359 (± 1.269),4.481 (± 1.721)
pl_reg,--,--,12.847 (± 2.361),24.223 (± 1.785),55.345 (± 0.935),100.000 (± 0.000),12.847 (± 2.361),24.223 (± 1.785),55.345 (± 0.935),100.000 (± 0.000),100.000 (± 0.000),12.847 (± 2.361),87.322 (± 0.453),85.462 (± 0.380),88.123 (± 0.675),55.621 (± 0.686),2.896 (± 1.252),3.968 (± 1.726)
