Model,alpha,beta,@top_1,@top_5,@top_10,tau,hamming,ndcg@1,ndcg@2,ndcg@3,ulam_correlation,cayley_correlation,map,tvd_top5,tvd_first
our,0.996(± 0.068),0.063(± 0.016),10.347 (± 0.053),49.220 (± 0.049),100.000 (± 0.000),5.906 (± 0.077),88.790 (± 0.013),59.858 (± 0.140),64.313 (± 0.090),67.750 (± 0.078),39.626 (± 0.012),22.881 (± 0.014),66.318 (± 0.091),19.307 (± 0.092),38.931 (± 0.738)
L1,1.000(± 0.000),0.061(± 0.021),10.340 (± 0.055),49.193 (± 0.052),100.000 (± 0.000),5.895 (± 0.079),88.792 (± 0.013),59.854 (± 0.141),64.307 (± 0.091),67.745 (± 0.079),39.625 (± 0.013),22.878 (± 0.015),66.313 (± 0.092),19.285 (± 0.095),38.982 (± 0.745)
L2,2.000(± 0.000),0.037(± 0.000),10.682 (± 0.059),49.360 (± 0.053),100.000 (± 0.000),6.593 (± 0.093),88.593 (± 0.014),60.577 (± 0.166),64.591 (± 0.106),68.116 (± 0.087),39.803 (± 0.014),23.046 (± 0.015),66.747 (± 0.108),19.969 (± 0.126),39.217 (± 0.725)
tau,--,--,12.071 (± 0.014),55.122 (± 0.024),100.000 (± 0.000),4.763 (± 0.030),89.259 (± 0.004),64.357 (± 0.021),66.596 (± 0.014),69.732 (± 0.014),37.276 (± 0.004),22.185 (± 0.004),68.586 (± 0.013),9.620 (± 0.055),24.561 (± 0.108)
pl,--,--,14.398 (± 0.066),61.643 (± 0.080),100.000 (± 0.000),12.628 (± 0.057),88.247 (± 0.016),68.199 (± 0.081),70.747 (± 0.057),73.507 (± 0.044),37.745 (± 0.009),23.596 (± 0.013),71.761 (± 0.044),4.945 (± 0.084),21.743 (± 0.267)
BT,--,--,12.743 (± 0.060),59.396 (± 0.090),100.000 (± 0.000),5.408 (± 0.098),89.207 (± 0.018),63.888 (± 0.083),66.597 (± 0.067),69.504 (± 0.055),37.628 (± 0.013),22.049 (± 0.020),68.300 (± 0.053),14.051 (± 0.114),22.241 (± 0.274)
pl_reg,--,--,14.256 (± 0.062),61.478 (± 0.073),100.000 (± 0.000),12.448 (± 0.055),88.295 (± 0.014),68.133 (± 0.080),70.665 (± 0.055),73.419 (± 0.046),37.717 (± 0.008),23.568 (± 0.013),71.695 (± 0.044),5.135 (± 0.085),22.779 (± 0.274)
