Model,alpha,beta,@top_1,@top_5,@top_10,tau,hamming,ndcg@1,ndcg@2,ndcg@3,ulam_correlation,cayley_correlation,map,tvd_top5,tvd_first
our,1.006(± 0.166),0.212(± 0.190),28.473 (± 0.365),92.806 (± 0.189),100.000 (± 0.000),26.152 (± 0.227),84.747 (± 0.028),79.103 (± 0.218),80.456 (± 0.099),82.390 (± 0.091),43.898 (± 0.079),25.306 (± 0.056),75.526 (± 0.116),31.600 (± 0.278),43.750 (± 0.320)
L1,1.000(± 0.000),0.216(± 0.243),28.732 (± 0.365),92.849 (± 0.173),100.000 (± 0.000),26.207 (± 0.233),84.698 (± 0.029),79.368 (± 0.211),80.602 (± 0.048),82.465 (± 0.061),43.895 (± 0.083),25.325 (± 0.046),75.618 (± 0.042),31.600 (± 0.282),43.250 (± 0.415)
L2,2.000(± 0.000),0.037(± 0.000),25.879 (± 0.134),91.458 (± 0.215),100.000 (± 0.000),25.332 (± 0.306),84.745 (± 0.055),77.357 (± 0.170),80.080 (± 0.165),81.989 (± 0.168),43.652 (± 0.086),25.518 (± 0.065),75.346 (± 0.140),31.267 (± 0.321),48.667 (± 0.000)
tau,--,--,19.466 (± 0.142),73.341 (± 0.224),100.000 (± 0.000),21.434 (± 0.274),86.709 (± 0.050),75.789 (± 0.149),77.445 (± 0.176),79.239 (± 0.132),39.188 (± 0.039),24.735 (± 0.069),76.900 (± 0.094),21.950 (± 0.454),61.333 (± 0.204)
pl,--,--,40.717 (± 0.830),98.616 (± 0.214),100.000 (± 0.000),45.657 (± 0.229),77.939 (± 0.189),95.680 (± 0.375),96.918 (± 0.271),96.675 (± 0.135),43.376 (± 0.067),33.907 (± 0.084),88.848 (± 0.174),15.433 (± 0.548),25.500 (± 0.829)
BT,--,--,18.126 (± 0.410),84.845 (± 1.530),100.000 (± 0.000),37.910 (± 3.811),85.784 (± 0.389),78.011 (± 0.961),81.314 (± 1.030),84.698 (± 1.240),38.031 (± 0.171),28.991 (± 1.785),80.628 (± 1.071),20.133 (± 2.371),64.083 (± 1.070)
pl_reg,--,--,39.389 (± 1.210),98.826 (± 0.079),100.000 (± 0.000),45.940 (± 0.509),78.004 (± 0.131),94.998 (± 0.768),96.616 (± 0.345),96.489 (± 0.197),43.213 (± 0.054),34.017 (± 0.167),88.654 (± 0.301),15.300 (± 0.543),24.167 (± 1.988)
