Model,alpha,beta,@top_1,@top_5,@top_10,tau,hamming,ndcg@1,ndcg@2,ndcg@3,ulam_correlation,cayley_correlation,map,tvd_top5,tvd_first
our,0.695(± 0.016),0.728(± 0.074),55.675 (± 0.045),88.658 (± 0.036),100.000 (± 0.000),37.207 (± 0.056),69.327 (± 0.024),85.017 (± 0.064),88.489 (± 0.050),88.532 (± 0.043),56.390 (± 0.024),45.186 (± 0.025),80.971 (± 0.042),12.302 (± 0.050),15.913 (± 0.034)
L1,1.000(± 0.000),0.349(± 0.044),43.959 (± 0.016),83.774 (± 0.029),100.000 (± 0.000),29.464 (± 0.067),76.981 (± 0.008),83.128 (± 0.062),85.420 (± 0.053),86.231 (± 0.048),50.922 (± 0.011),37.555 (± 0.017),79.729 (± 0.045),10.932 (± 0.061),27.851 (± 0.139)
L2,2.000(± 0.000),0.037(± 0.000),31.006 (± 0.015),79.881 (± 0.031),100.000 (± 0.000),23.016 (± 0.062),83.890 (± 0.009),80.686 (± 0.047),82.991 (± 0.048),83.685 (± 0.044),46.583 (± 0.021),30.137 (± 0.017),78.854 (± 0.042),10.701 (± 0.033),46.379 (± 0.092)
tau,--,--,26.933 (± 0.035),88.416 (± 0.037),100.000 (± 0.000),36.208 (± 0.036),83.453 (± 0.010),83.694 (± 0.021),85.456 (± 0.020),87.172 (± 0.020),44.710 (± 0.007),30.555 (± 0.017),82.077 (± 0.023),8.182 (± 0.078),53.208 (± 0.089)
pl,--,--,18.115 (± 0.167),79.340 (± 0.206),100.000 (± 0.000),37.855 (± 0.077),85.560 (± 0.057),77.413 (± 0.092),80.133 (± 0.062),83.085 (± 0.045),45.607 (± 0.051),35.868 (± 0.053),78.538 (± 0.046),7.681 (± 0.068),60.926 (± 0.262)
BT,--,--,76.392 (± 0.098),97.342 (± 0.045),100.000 (± 0.000),28.440 (± 0.153),56.277 (± 0.094),87.972 (± 0.096),93.935 (± 0.066),94.145 (± 0.060),49.607 (± 0.086),39.063 (± 0.193),84.196 (± 0.057),30.658 (± 0.153),23.310 (± 0.103)
pl_reg,--,--,18.209 (± 0.137),79.390 (± 0.213),100.000 (± 0.000),37.787 (± 0.073),85.560 (± 0.057),77.498 (± 0.085),80.169 (± 0.068),83.087 (± 0.055),45.576 (± 0.045),35.863 (± 0.050),78.511 (± 0.055),7.686 (± 0.062),60.828 (± 0.236)
