Model,alpha,beta,@top_1,@top_5,@top_10,tau,hamming,ndcg@1,ndcg@2,ndcg@3,ulam_correlation,cayley_correlation,map,tvd_top5,tvd_first
our,0.381(± 6.187),0.480(± 6.268),0.370 (± 0.153),36.274 (± 0.404),100.000 (± 0.000),14.380 (± 0.337),88.665 (± 0.496),72.241 (± 0.569),77.045 (± 0.419),78.552 (± 0.314),40.417 (± 0.504),23.598 (± 0.510),77.381 (± 0.284),25.911 (± 2.578),98.000 (± 0.831)
L1,1.000(± 0.000),0.127(± 0.406),0.436 (± 0.179),37.630 (± 1.052),100.000 (± 0.000),11.415 (± 0.700),89.869 (± 0.226),70.106 (± 0.154),74.797 (± 0.222),76.935 (± 0.230),40.405 (± 0.452),22.572 (± 0.384),75.312 (± 0.101),28.467 (± 1.404),98.000 (± 0.831)
L2,2.000(± 0.000),0.038(± 0.000),0.487 (± 0.202),37.086 (± 0.298),100.000 (± 0.000),11.573 (± 0.905),89.845 (± 0.277),70.171 (± 0.210),74.530 (± 0.223),77.037 (± 0.228),40.509 (± 0.476),22.733 (± 0.380),75.368 (± 0.128),28.444 (± 1.535),98.000 (± 0.831)
tau,--,--,12.165 (± 0.070),58.878 (± 0.090),100.000 (± 0.000),11.302 (± 0.280),88.792 (± 0.045),68.345 (± 0.176),70.726 (± 0.124),73.465 (± 0.191),37.793 (± 0.053),22.728 (± 0.020),72.141 (± 0.219),22.956 (± 0.367),86.000 (± 0.831)
pl,--,--,17.254 (± 1.833),86.136 (± 1.251),100.000 (± 0.000),32.412 (± 0.682),85.151 (± 0.584),80.791 (± 0.685),83.658 (± 0.374),86.268 (± 0.403),38.850 (± 0.123),27.745 (± 0.158),82.471 (± 0.327),16.844 (± 0.717),81.111 (± 1.990)
