Model,alpha,beta,@top_1,@top_5,@top_10,tau,hamming,ndcg@1,ndcg@2,ndcg@3,ulam_correlation,cayley_correlation,map,tvd_top5,tvd_first
our,0.316(± 0.005),0.030(± 0.094),5.629 (± 0.053),24.743 (± 0.244),36.288 (± 0.277),27.404 (± 0.061),95.450 (± 0.025),70.736 (± 0.065),71.758 (± 0.067),72.047 (± 0.071),23.882 (± 0.017),8.478 (± 0.007),39.775 (± 0.122),50.020 (± 0.471),66.285 (± 0.291)
L1,1.000(± 0.000),0.037(± 0.000),5.773 (± 0.054),25.033 (± 0.240),36.579 (± 0.278),27.504 (± 0.061),95.385 (± 0.025),71.155 (± 0.064),72.006 (± 0.068),72.344 (± 0.073),23.896 (± 0.017),8.487 (± 0.007),40.178 (± 0.123),49.869 (± 0.476),65.765 (± 0.294)
L2,2.000(± 0.000),0.037(± 0.000),5.990 (± 0.057),26.301 (± 0.271),37.608 (± 0.280),28.034 (± 0.062),95.179 (± 0.028),71.526 (± 0.067),72.224 (± 0.072),72.795 (± 0.075),23.942 (± 0.018),8.547 (± 0.007),40.918 (± 0.128),49.563 (± 0.445),65.621 (± 0.297)
tau,--,--,2.533 (± 0.007),11.706 (± 0.018),22.630 (± 0.021),3.730 (± 0.007),97.693 (± 0.002),56.744 (± 0.012),57.064 (± 0.010),57.050 (± 0.009),21.162 (± 0.002),7.258 (± 0.002),23.926 (± 0.016),40.299 (± 0.126),46.709 (± 0.251)
pl,--,--,3.684 (± 0.025),17.877 (± 0.059),34.314 (± 0.089),21.757 (± 0.031),96.638 (± 0.009),63.086 (± 0.080),63.558 (± 0.060),63.958 (± 0.050),21.963 (± 0.002),8.093 (± 0.003),31.726 (± 0.074),23.233 (± 0.182),35.725 (± 0.308)
BT,--,--,0.339 (± 0.031),3.219 (± 0.238),17.870 (± 0.361),7.474 (± 0.380),99.488 (± 0.039),38.916 (± 0.480),38.407 (± 0.394),37.536 (± 0.354),21.243 (± 0.019),7.307 (± 0.015),4.918 (± 0.265),89.129 (± 1.151),99.212 (± 0.063)
pl_reg,--,--,3.647 (± 0.026),17.905 (± 0.063),34.371 (± 0.090),21.793 (± 0.031),96.635 (± 0.009),63.070 (± 0.085),63.549 (± 0.062),63.988 (± 0.052),21.968 (± 0.003),8.094 (± 0.002),31.736 (± 0.071),23.081 (± 0.169),36.310 (± 0.368)
