Model,alpha,beta,@top_1,@top_5,@top_10,tau,hamming,ndcg@1,ndcg@2,ndcg@3,ulam_correlation,cayley_correlation,map,tvd_top5,tvd_first
our,0.345(± 0.005),0.032(± 0.104),12.268 (± 0.087),56.757 (± 0.236),75.389 (± 0.288),37.276 (± 0.059),91.621 (± 0.025),79.229 (± 0.060),78.181 (± 0.060),79.680 (± 0.057),27.994 (± 0.015),9.601 (± 0.009),60.058 (± 0.105),54.653 (± 0.095),57.237 (± 0.248)
L1,1.000(± 0.000),0.037(± 0.000),12.705 (± 0.089),57.288 (± 0.240),75.548 (± 0.293),37.240 (± 0.059),91.429 (± 0.026),79.855 (± 0.054),79.134 (± 0.056),80.238 (± 0.055),28.005 (± 0.015),9.645 (± 0.009),61.091 (± 0.104),54.367 (± 0.096),56.330 (± 0.262)
L2,2.000(± 0.000),0.037(± 0.000),13.575 (± 0.098),57.658 (± 0.253),76.083 (± 0.292),37.531 (± 0.060),91.217 (± 0.027),81.888 (± 0.051),81.153 (± 0.053),81.934 (± 0.053),28.045 (± 0.015),9.733 (± 0.008),63.379 (± 0.108),54.295 (± 0.097),56.460 (± 0.299)
tau,--,--,2.940 (± 0.039),16.317 (± 0.051),30.738 (± 0.080),9.519 (± 0.039),97.192 (± 0.009),58.796 (± 0.132),59.997 (± 0.087),60.550 (± 0.068),21.834 (± 0.003),7.441 (± 0.003),27.340 (± 0.082),68.299 (± 0.107),84.487 (± 0.182)
pl,--,--,9.764 (± 0.095),37.900 (± 0.246),55.879 (± 0.263),19.242 (± 0.066),94.016 (± 0.025),70.874 (± 0.131),70.772 (± 0.098),70.686 (± 0.078),23.398 (± 0.006),8.450 (± 0.006),51.681 (± 0.188),55.931 (± 0.139),62.190 (± 0.279)
BT,--,--,4.502 (± 0.326),30.739 (± 0.485),59.149 (± 0.625),26.311 (± 0.489),95.089 (± 0.086),65.148 (± 1.437),66.982 (± 0.969),68.246 (± 0.760),22.742 (± 0.035),8.107 (± 0.028),39.960 (± 0.803),58.098 (± 0.519),79.533 (± 1.479)
pl_reg,--,--,9.762 (± 0.100),37.739 (± 0.226),55.838 (± 0.254),19.249 (± 0.055),94.039 (± 0.025),70.851 (± 0.170),70.751 (± 0.122),70.594 (± 0.095),23.400 (± 0.006),8.447 (± 0.005),51.539 (± 0.179),56.109 (± 0.131),62.327 (± 0.315)
