Model,alpha,beta,@recall_1,@recall_2,@recall_5,@recall_10,@precision_1,@precision_2,@precision_5,@precision_10,@mmr,@ndcg1,@ndcg5,@ndcg10,hamming,pairwise_acc,Kendall_tau,Spearman_rho
our,0.100 (± 0.000),0.033 (± 0.013),13.293 (± 2.661),23.393 (± 1.935),41.827 (± 1.336),45.533 (± 0.932),13.293 (± 2.661),23.393 (± 1.935),41.827 (± 1.336),45.533 (± 0.932),77.791 (± 1.442),13.293 (± 2.661),96.256 (± 0.205),96.061 (± 0.211),97.247 (± 0.139),78.199 (± 0.328),56.414 (± 0.655),75.752 (± 0.729)
L1,1.000 (± 0.000),0.049 (± 0.000),12.573 (± 2.585),23.513 (± 1.961),42.776 (± 1.333),45.605 (± 0.987),12.573 (± 2.585),23.513 (± 1.961),42.776 (± 1.333),45.605 (± 0.987),77.184 (± 1.470),12.573 (± 2.585),96.216 (± 0.217),96.064 (± 0.222),97.257 (± 0.147),78.211 (± 0.330),56.436 (± 0.657),75.770 (± 0.730)
L2,2.000 (± 0.000),0.049 (± 0.000),13.227 (± 2.423),23.800 (± 2.076),42.203 (± 1.285),45.820 (± 0.709),13.227 (± 2.423),23.800 (± 2.076),42.203 (± 1.285),45.820 (± 0.709),80.178 (± 1.421),13.227 (± 2.423),96.677 (± 0.184),96.301 (± 0.193),97.238 (± 0.127),78.254 (± 0.330),56.508 (± 0.660),75.831 (± 0.732)
tau,--,--,2.933 (± 1.033),5.560 (± 1.005),12.056 (± 0.782),22.124 (± 0.661),2.933 (± 1.033),5.560 (± 1.005),12.056 (± 0.782),22.124 (± 0.661),45.096 (± 1.837),2.933 (± 1.033),92.027 (± 0.335),90.891 (± 0.257),98.447 (± 0.095),64.423 (± 0.202),23.637 (± 0.522),34.785 (± 0.727)
pl,--,--,2.187 (± 0.998),4.367 (± 1.224),9.611 (± 1.400),17.431 (± 1.540),2.187 (± 0.998),4.367 (± 1.224),9.611 (± 1.400),17.431 (± 1.540),38.065 (± 3.243),2.187 (± 0.998),90.059 (± 0.960),88.437 (± 0.964),98.342 (± 0.124),65.792 (± 1.964),24.474 (± 3.077),35.958 (± 4.461)
pl_reg,--,--,2.347 (± 1.431),4.413 (± 1.088),9.549 (± 1.183),17.324 (± 1.285),2.347 (± 1.431),4.413 (± 1.088),9.549 (± 1.183),17.324 (± 1.285),37.771 (± 3.001),2.347 (± 1.431),89.988 (± 0.597),88.338 (± 0.581),98.348 (± 0.114),65.419 (± 1.435),23.764 (± 2.354),34.950 (± 3.398)
