Model,alpha,beta,@recall_1,@recall_2,@recall_5,@recall_10,@precision_1,@precision_2,@precision_5,@precision_10,@mmr,@ndcg1,@ndcg5,@ndcg10,hamming,pairwise_acc,Kendall_tau,Spearman_rho
our,0.401 (± 0.143),0.462 (± 0.083),7.107 (± 0.560),24.333 (± 1.448),51.416 (± 1.082),100.000 (± 0.000),7.107 (± 0.560),24.333 (± 1.448),51.416 (± 1.082),100.000 (± 0.000),100.000 (± 0.000),7.107 (± 0.560),88.559 (± 0.364),84.860 (± 0.292),89.028 (± 0.845),51.871 (± 0.688),6.506 (± 2.230),8.970 (± 3.041)
L1,1.000 (± 0.000),0.129 (± 0.005),7.240 (± 0.680),23.127 (± 1.390),50.827 (± 1.182),100.000 (± 0.000),7.240 (± 0.680),23.127 (± 1.390),50.827 (± 1.182),100.000 (± 0.000),100.000 (± 0.000),7.240 (± 0.680),88.383 (± 0.479),84.671 (± 0.333),89.271 (± 0.916),51.394 (± 0.698),7.135 (± 2.300),9.711 (± 3.165)
L2,2.000 (± 0.000),0.018 (± 0.001),8.573 (± 0.611),23.087 (± 1.443),50.973 (± 1.331),100.000 (± 0.000),8.573 (± 0.611),23.087 (± 1.443),50.973 (± 1.331),100.000 (± 0.000),100.000 (± 0.000),8.573 (± 0.611),88.101 (± 0.491),84.756 (± 0.300),89.321 (± 0.832),51.652 (± 0.711),6.443 (± 2.266),9.002 (± 3.084)
tau,--,--,9.360 (± 0.666),26.927 (± 1.679),56.744 (± 0.994),100.000 (± 0.000),9.360 (± 0.666),26.927 (± 1.679),56.744 (± 0.994),100.000 (± 0.000),100.000 (± 0.000),9.360 (± 0.666),87.776 (± 0.402),85.879 (± 0.313),89.264 (± 0.709),55.733 (± 0.583),1.986 (± 1.228),2.535 (± 1.690)
pl,--,--,19.360 (± 3.312),39.353 (± 2.148),66.720 (± 1.518),100.000 (± 0.000),19.360 (± 3.312),39.353 (± 2.148),66.720 (± 1.518),100.000 (± 0.000),100.000 (± 0.000),19.360 (± 3.312),90.968 (± 0.549),90.289 (± 0.470),84.336 (± 1.002),67.071 (± 0.894),5.761 (± 2.016),7.966 (± 2.737)
pl_reg,--,--,17.920 (± 4.013),36.113 (± 2.499),64.533 (± 1.530),100.000 (± 0.000),17.920 (± 4.013),36.113 (± 2.499),64.533 (± 1.530),100.000 (± 0.000),100.000 (± 0.000),17.920 (± 4.013),90.196 (± 0.618),89.389 (± 0.539),85.016 (± 1.154),65.133 (± 1.184),5.849 (± 2.031),7.928 (± 2.671)
