Model,alpha,beta,@top_1,@top_5,@top_10,tau,hamming,ndcg@1,ndcg@2,ndcg@3,ulam_correlation,cayley_correlation,map,tvd_top5,tvd_first
our,0.806(± 0.076),0.032(± 0.106),0.121 (± 0.013),46.736 (± 0.166),94.127 (± 0.154),21.773 (± 0.036),93.480 (± 0.016),70.156 (± 0.026),74.406 (± 0.023),75.818 (± 0.026),37.015 (± 0.016),18.340 (± 0.015),64.578 (± 0.065),47.936 (± 0.125),99.540 (± 0.050)
L1,1.000(± 0.000),0.037(± 0.000),0.123 (± 0.013),44.922 (± 0.090),94.096 (± 0.155),21.641 (± 0.032),93.493 (± 0.016),70.377 (± 0.024),74.489 (± 0.023),75.752 (± 0.025),37.052 (± 0.016),18.281 (± 0.014),64.712 (± 0.064),48.337 (± 0.121),99.540 (± 0.050)
L2,2.000(± 0.000),0.037(± 0.000),0.112 (± 0.012),45.300 (± 0.102),93.711 (± 0.165),22.043 (± 0.032),93.579 (± 0.015),70.553 (± 0.025),73.770 (± 0.025),75.735 (± 0.039),37.377 (± 0.018),17.915 (± 0.012),64.598 (± 0.071),48.409 (± 0.096),99.540 (± 0.050)
tau,--,--,9.551 (± 0.071),46.215 (± 0.173),77.410 (± 0.117),13.617 (± 0.125),91.905 (± 0.019),67.127 (± 0.041),67.402 (± 0.061),69.111 (± 0.053),33.461 (± 0.018),18.111 (± 0.018),61.028 (± 0.035),37.865 (± 0.127),83.413 (± 0.168)
pl,--,--,16.141 (± 0.205),73.472 (± 0.282),97.123 (± 0.075),31.581 (± 0.125),89.188 (± 0.048),77.431 (± 0.126),78.840 (± 0.098),80.244 (± 0.088),34.844 (± 0.014),21.251 (± 0.034),72.737 (± 0.097),29.349 (± 0.153),79.540 (± 0.244)
BT,--,--,6.605 (± 0.740),61.891 (± 1.199),98.098 (± 0.265),15.150 (± 1.278),91.612 (± 0.164),41.015 (± 2.796),50.808 (± 2.227),57.844 (± 1.742),34.778 (± 0.079),17.435 (± 0.160),54.836 (± 1.430),42.134 (± 0.653),90.183 (± 1.076)
pl_reg,--,--,15.799 (± 0.192),73.443 (± 0.301),97.098 (± 0.076),31.567 (± 0.119),89.219 (± 0.049),77.181 (± 0.137),78.774 (± 0.105),80.108 (± 0.092),34.825 (± 0.017),21.210 (± 0.034),72.574 (± 0.102),29.499 (± 0.131),79.730 (± 0.233)
