Model,alpha,beta,@recall_1,@recall_2,@recall_5,@recall_10,@precision_1,@precision_2,@precision_5,@precision_10,@mmr,@ndcg1,@ndcg5,@ndcg10,hamming,pairwise_acc,Kendall_tau,Spearman_rho
our,0.100 (± 0.000),0.042 (± 0.000),8.800 (± 1.441),13.814 (± 1.334),23.302 (± 1.641),32.981 (± 1.199),8.800 (± 1.441),13.814 (± 1.334),23.302 (± 1.641),32.981 (± 1.199),66.314 (± 2.077),8.800 (± 1.441),92.399 (± 0.455),90.948 (± 0.363),96.936 (± 0.160),62.792 (± 0.283),1.741 (± 0.621),2.587 (± 0.846)
L1,1.000 (± 0.000),0.049 (± 0.000),8.521 (± 1.596),14.135 (± 1.482),23.647 (± 1.545),33.165 (± 1.266),8.521 (± 1.596),14.135 (± 1.482),23.647 (± 1.545),33.165 (± 1.266),66.752 (± 1.763),8.521 (± 1.596),92.526 (± 0.446),91.093 (± 0.346),96.921 (± 0.164),62.856 (± 0.301),1.750 (± 0.614),2.604 (± 0.838)
L2,2.000 (± 0.000),0.049 (± 0.000),9.553 (± 1.521),15.423 (± 1.332),24.413 (± 1.456),33.625 (± 1.235),9.553 (± 1.521),15.423 (± 1.332),24.413 (± 1.456),33.625 (± 1.235),68.036 (± 2.033),9.553 (± 1.521),92.788 (± 0.521),91.362 (± 0.364),96.819 (± 0.178),63.168 (± 0.325),1.757 (± 0.603),2.608 (± 0.830)
tau,--,--,2.530 (± 0.931),5.130 (± 0.958),11.466 (± 0.791),21.864 (± 0.658),2.530 (± 0.931),5.130 (± 0.958),11.466 (± 0.791),21.864 (± 0.658),45.649 (± 1.961),2.530 (± 0.931),87.300 (± 0.483),84.681 (± 0.373),97.901 (± 0.148),51.758 (± 0.205),0.062 (± 0.623),0.085 (± 0.906)
pl,--,--,2.949 (± 1.236),5.907 (± 1.129),13.991 (± 0.870),26.685 (± 0.819),2.949 (± 1.236),5.907 (± 1.129),13.991 (± 0.870),26.685 (± 0.819),48.935 (± 2.480),2.949 (± 1.236),88.175 (± 0.636),86.313 (± 0.506),97.146 (± 0.192),59.810 (± 0.297),0.096 (± 0.632),0.141 (± 0.923)
pl_reg,--,--,2.912 (± 1.035),5.786 (± 0.932),13.952 (± 0.868),26.348 (± 0.910),2.912 (± 1.035),5.786 (± 0.932),13.952 (± 0.868),26.348 (± 0.910),48.834 (± 2.169),2.912 (± 1.035),88.125 (± 0.556),86.203 (± 0.410),97.192 (± 0.141),59.586 (± 0.343),-0.203 (± 0.799),-0.281 (± 1.155)
